,Country,Population vaccinated
1,China,91.89%
2,India,72.50%
4,United States of America,81.39%
5,Indonesia,74.00%
6,Brazil,88.08%
7,Pakistan,70.21%
8,Bangladesh,88.50%
9,Japan,84.47%
10,Mexico,76.22%
11,Nigeria,42.22%
12,Vietnam,91.94%
13,Russia,61.56%
14,Philippines,67.92%
15,Iran,73.62%
16,Germany,77.82%
17,Turkey,67.89%
18,Thailand,79.62%
19,Egypt,51.27%
20,France,80.63%
21,United Kingdom,79.97%
22,Italy,86.27%
23,South Korea,86.43%
24,Ethiopia,35.72%
25,Colombia,82.92%
26,Argentina,91.22%
27,Spain,86.95%
28,Myanmar,64.64%
29,Canada,90.40%
30,Tanzania,52.57%
31,Peru,89.71%
32,Malaysia,82.92%
33,Nepal,91.28%
34,Saudi Arabia,74.27%
35,Morocco,66.80%
36,South Africa,40.42%
37,Poland,57.40%
38,Mozambique,69.37%
39,Australia,84.95%
40,Venezuela,78.29%
41,Taiwan,91.65%
42,Uzbekistan,62.59%
43,Uganda,41.25%
44,Afghanistan,45.04%
45,Chile,92.27%
46,Sri Lanka,78.53%
47,Angola,46.34%
48,Ukraine,36.19%
49,Democratic Republic of the Congo,15.54%
50,Ecuador,85.18%
51,Cambodia,91.29%
52,Sudan,32.44%
53,Kenya,26.83%
54,Ivory Coast,48.18%
55,Ghana,39.50%
56,Netherlands,71.72%
57,Zambia,58.14%
58,Iraq,25.47%
59,Kazakhstan,55.98%
60,Cuba,96.05%
61,Rwanda,76.75%
62,United Arab Emirates,100.00%
63,Portugal,95.33%
64,Belgium,79.51%
65,Somalia,50.99%
66,Guatemala,50.07%
67,Romania,41.65%
68,Greece,76.42%
69,Algeria,17.75%
70,Sweden,73.71%
71,Guinea,55.41%
72,Bolivia,60.94%
73,Dominican Republic,65.48%
74,Tunisia,58.42%
75,Czech Republic,66.48%
76,Hong Kong,92.37%
77,Austria,77.18%
78,Israel,71.15%
79,Honduras,63.23%
80,Belarus,68.46%
81,Zimbabwe,40.25%
82,Hungary,64.42%
83,Nicaragua,90.10%
84,Chad,35.29%
85,Niger,23.72%
86,Switzerland,69.75%
87,Burkina Faso,26.86%
88,Laos,79.31%
89,Azerbaijan,52.10%
90,Malawi,26.19%
91,Tajikistan,54.18%
92,Sierra Leone,61.03%
93,Singapore,91.55%
94,Jordan,43.25%
95,Denmark,80.79%
96,El Salvador,73.69%
97,Costa Rica,89.60%
98,Finland,81.65%
99,Mali,19.27%
100,Norway,79.99%
101,New Zealand,82.96%
102,South Sudan,39.28%
103,Republic of Ireland,81.80%
104,Paraguay,58.90%
105,Liberia,72.14%
106,Cameroon,13.45%
107,Benin,27.69%
108,Panama,80.15%
109,Kuwait,80.99%
110,Serbia,48.81%
111,Syria,14.90%
112,Oman,71.18%
113,Uruguay,87.95%
114,Qatar,105.83%
115,Slovakia,51.82%
116,Lebanon,49.92%
117,Madagascar,9.12%
118,Senegal,15.50%
119,Central African Republic,46.61%
120,Croatia,57.62%
121,Libya,34.00%
122,Mongolia,68.27%
123,Togo,25.41%
124,Bulgaria,31.09%
125,Mauritania,44.42%
126,Palestine,38.34%
127,Lithuania,71.18%
128,Botswana,74.18%
129,Kyrgyzstan,26.19%
130,Georgia,44.03%
131,Albania,47.44%
132,Latvia,71.84%
133,Slovenia,59.72%
134,Bahrain,84.31%
135,Mauritius,86.48%
136,Armenia,40.35%
137,Moldova,33.88%
138,Yemen,3.09%
139,Lesotho,43.98%
140,Bosnia and Herzegovina,28.91%
141,Gambia,34.55%
142,Kosovo,50.89%
143,Timor-Leste,66.07%
144,Estonia,65.57%
145,Jamaica,30.41%
146,North Macedonia,40.82%
147,Trinidad and Tobago,49.39%
148,Guinea-Bissau,35.48%
149,Fiji,76.58%
150,Bhutan,89.35%
151,Republic of the Congo,11.92%
152,Macau,97.77%
153,Cyprus,74.88%
154,Namibia,24.53%
155,Eswatini,43.78%
156,Haiti,4.50%
157,Guyana,61.24%
158,Luxembourg,74.42%
159,Malta,89.78%
160,Brunei,100.48%
161,Comoros,53.41%
162,Djibouti,37.61%
163,Maldives,76.23%
164,Papua New Guinea,3.77%
165,Cabo Verde,60.68%
166,Solomon Islands,47.47%
167,Gabon,13.02%
168,Iceland,84.00%
169,Northern Cyprus,78.80%
170,Montenegro,46.63%
171,Equatorial Guinea,16.53%
172,Suriname,45.26%
173,Belize,63.78%
174,New Caledonia,66.35%
175,Samoa,86.07%
176,French Polynesia,62.33%
177,Vanuatu,54.06%
178,Bahamas,42.64%
179,Barbados,58.17%
180,Sao Tome and Principe,61.68%
181,Curaçao,56.81%
182,Kiribati,76.88%
183,Aruba,85.00%
184,Seychelles,82.62%
185,Tonga,81.73%
186,Jersey,76.14%
187,Isle of Man,81.44%
188,Antigua and Barbuda,68.97%
189,Cayman Islands,90.25%
190,Saint Lucia,33.43%
191,Andorra,72.52%
192,Guernsey,85.62%
193,Bermuda,75.65%
194,Grenada,35.26%
195,Gibraltar,129.07%
196,Faroe Islands,85.04%
197,Greenland,72.52%
198,Saint Vincent and the Grenadines,36.10%
199,Burundi,0.29%
200,Saint Kitts and Nevis,70.88%
201,Dominica,45.57%
202,Turks and Caicos Islands,71.76%
203,Turkmenistan,0.53%
204,Sint Maarten,67.41%
205,Liechtenstein,68.02%
206,Monaco,67.49%
207,San Marino,77.50%
208,British Virgin Islands,62.55%
209,Caribbean Netherlands,72.26%
210,Cook Islands,88.73%
211,Nauru,103.27%
212,Anguilla,68.36%
213,Wallis and Futuna,61.66%
214,Tuvalu,53.40%
215,"Saint Helena, Ascension and Tristan da Cunha",71.83%
216,Falkland Islands,75.57%
217,Tokelau,116.38%
218,Montserrat,47.68%
219,Niue,102.23%
220,Pitcairn Islands,100.00%
221,North Korea,0.00%
